Date,DAM_SP15,Net Load_CAISO,Net Load_SP15
2019-01-01 01:00:00,42.6,19.31,10.79
2019-01-01 02:00:00,41.28,18.85,10.67
2019-01-01 03:00:00,40.13,18.33,10.42
2019-01-01 04:00:00,39.2,18.06,10.27
2019-01-01 05:00:00,40.17,18.14,10.32
2019-01-01 06:00:00,43.39,18.7,10.64
2019-01-01 07:00:00,43.65,19.45,11.03
2019-01-01 08:00:00,41.04,18.46,9.98
2019-01-01 09:00:00,35.16,14.24,6.97
2019-01-01 10:00:00,28.08,11.31,5.03
2019-01-01 11:00:00,21.82,10.19,4.25
2019-01-01 12:00:00,18.05,9.54,4.17
2019-01-01 13:00:00,15.26,9.39,4.18
2019-01-01 14:00:00,14.08,9.75,4.2
2019-01-01 15:00:00,20.89,11.33,5.06
2019-01-01 16:00:00,35.97,15.51,7.66
2019-01-01 17:00:00,45.33,21.56,11.44
2019-01-01 18:00:00,55.34,25.59,13.95
2019-01-01 19:00:00,64.6,26.31,14.38
2019-01-01 20:00:00,61.15,26.12,14.31
2019-01-01 21:00:00,55.24,25.75,14.16
2019-01-01 22:00:00,52.29,24.82,13.68
2019-01-01 23:00:00,48.79,23.32,12.85
2019-01-01 00:00:00,46.22,21.81,12
2019-01-02 01:00:00,44.61,20.87,11.43
2019-01-02 02:00:00,43.52,20.17,11.01
2019-01-02 03:00:00,43.41,19.81,10.75
2019-01-02 04:00:00,43.11,19.93,10.81
2019-01-02 05:00:00,44.3,20.69,11.19
2019-01-02 06:00:00,46.36,22.25,12.07
2019-01-02 07:00:00,60.3,24.33,13.19
2019-01-02 08:00:00,57,24.23,12.63
2019-01-02 09:00:00,43.11,20.21,9.82
2019-01-02 10:00:00,38.14,16.86,7.76
2019-01-02 11:00:00,35.43,15.61,7.1
2019-01-02 12:00:00,33.2,14.88,6.75
2019-01-02 13:00:00,30.41,14.37,6.48
2019-01-02 14:00:00,30.34,14.43,6.64
2019-01-02 15:00:00,33.29,15.24,7.2
2019-01-02 16:00:00,41.87,18.9,9.71
2019-01-02 17:00:00,52.28,24.72,13.37
2019-01-02 18:00:00,74.11,28.23,15.43
2019-01-02 19:00:00,75,28.7,15.61
2019-01-02 20:00:00,65.11,28.52,15.55
2019-01-02 21:00:00,60.9,28.08,15.37
2019-01-02 22:00:00,55.95,26.91,14.81
2019-01-02 23:00:00,48.19,25.1,13.83
2019-01-02 00:00:00,43.86,23.41,12.89
2019-01-03 01:00:00,42,22.09,12.19
2019-01-03 02:00:00,40.61,21.23,11.7
2019-01-03 03:00:00,41.76,20.87,11.48
2019-01-03 04:00:00,40.63,20.93,11.51
2019-01-03 05:00:00,42.58,21.67,11.95
2019-01-03 06:00:00,45.76,23.34,12.94
2019-01-03 07:00:00,59.22,25.42,14.03
2019-01-03 08:00:00,52.57,25.4,13.57
2019-01-03 09:00:00,42.11,21.14,10.68
2019-01-03 10:00:00,35.73,17.83,8.61
2019-01-03 11:00:00,33.25,16.54,7.86
2019-01-03 12:00:00,31.06,15.75,7.44
2019-01-03 13:00:00,28.5,15.34,7.22
2019-01-03 14:00:00,30.02,15.49,7.23
2019-01-03 15:00:00,32.71,16.41,7.87
2019-01-03 16:00:00,40.86,19.64,10.06
2019-01-03 17:00:00,50.94,25,13.45
2019-01-03 18:00:00,72.47,28.18,15.38
2019-01-03 19:00:00,75.08,28.64,15.66
2019-01-03 20:00:00,64.25,28.43,15.57
2019-01-03 21:00:00,60,27.88,15.34
2019-01-03 22:00:00,53.23,26.69,14.72
2019-01-03 23:00:00,47.45,24.94,13.84
2019-01-03 00:00:00,42.67,23.2,12.86
2019-01-04 01:00:00,41.66,22.1,12.23
2019-01-04 02:00:00,40.24,21.31,11.83
2019-01-04 03:00:00,40.61,20.93,11.63
2019-01-04 04:00:00,41.06,20.92,11.6
2019-01-04 05:00:00,41.97,21.61,11.99
2019-01-04 06:00:00,46.09,23.19,12.91
2019-01-04 07:00:00,59.13,25.44,14.12
2019-01-04 08:00:00,51.21,25.27,13.52
2019-01-04 09:00:00,41.98,21.1,10.48
2019-01-04 10:00:00,34.83,18.06,8.62
2019-01-04 11:00:00,32.98,16.69,7.9
2019-01-04 12:00:00,32.97,15.91,7.53
2019-01-04 13:00:00,30.46,15.35,7.29
2019-01-04 14:00:00,30.55,15.26,7.33
2019-01-04 15:00:00,32.08,16.03,7.88
2019-01-04 16:00:00,38.14,19.3,10.05
2019-01-04 17:00:00,51.61,24.68,13.44
2019-01-04 18:00:00,72.32,27.79,15.26
2019-01-04 19:00:00,71.66,28.1,15.37
2019-01-04 20:00:00,60,27.62,15.17
2019-01-04 21:00:00,55.48,26.91,14.84
2019-01-04 22:00:00,50.71,25.86,14.27
2019-01-04 23:00:00,46.26,24.35,13.45
2019-01-04 00:00:00,41.69,22.74,12.55
2019-01-05 01:00:00,39.62,21.59,11.92
2019-01-05 02:00:00,39.03,20.64,11.39
2019-01-05 03:00:00,38.05,20.52,11.16
2019-01-05 04:00:00,37.8,20.25,11.01
2019-01-05 05:00:00,37.9,20.36,11.06
2019-01-05 06:00:00,39.79,21.01,11.45
2019-01-05 07:00:00,41.36,22,12
2019-01-05 08:00:00,41.33,22.4,12
2019-01-05 09:00:00,41.38,22.56,11.95
2019-01-05 10:00:00,41.06,22.48,12.1
2019-01-05 11:00:00,39.46,21.86,11.89
2019-01-05 12:00:00,37.61,21.73,11.78
2019-01-05 13:00:00,36.43,21.59,11.51
2019-01-05 14:00:00,37.84,21.99,11.78
2019-01-05 15:00:00,39.05,22.46,12.15
2019-01-05 16:00:00,39.43,23.36,12.81
2019-01-05 17:00:00,42.9,24.62,13.74
2019-01-05 18:00:00,54.65,26.13,14.71
2019-01-05 19:00:00,56.7,26.36,14.86
2019-01-05 20:00:00,51.35,26.26,14.62
2019-01-05 21:00:00,47.81,25.68,14.3
2019-01-05 22:00:00,42.42,24.69,13.76
2019-01-05 23:00:00,40.75,23.24,12.91
2019-01-05 00:00:00,38.18,21.95,12.12
2019-01-06 01:00:00,35.43,20.98,11.48
2019-01-06 02:00:00,35.03,19.92,10.75
2019-01-06 03:00:00,33.13,19.17,10.13
2019-01-06 04:00:00,33.37,18.91,10.04
2019-01-06 05:00:00,35.07,18.8,9.91
2019-01-06 06:00:00,35.69,18.83,10.03
2019-01-06 07:00:00,37.6,19.43,10.32
2019-01-06 08:00:00,35.74,19.37,10.08
2019-01-06 09:00:00,34.25,17.15,8.13
2019-01-06 10:00:00,32.05,16.04,7.13
2019-01-06 11:00:00,28.69,15.02,5.87
2019-01-06 12:00:00,24.2,14.99,5.48
2019-01-06 13:00:00,22.6,15.35,5.61
2019-01-06 14:00:00,25.24,15.37,5.27
2019-01-06 15:00:00,28.68,16.07,5.74
2019-01-06 16:00:00,33.89,18.48,8.09
2019-01-06 17:00:00,38.97,22.23,11.29
2019-01-06 18:00:00,48.18,24.94,13.28
2019-01-06 19:00:00,51.15,24.97,13.39
2019-01-06 20:00:00,45.92,24.75,13.26
2019-01-06 21:00:00,43.25,23.74,12.92
2019-01-06 22:00:00,39.36,22.43,11.96
2019-01-06 23:00:00,35.08,20.7,10.76
2019-01-06 00:00:00,34.02,19.32,9.8
2019-01-07 01:00:00,35.04,18.12,8.99
2019-01-07 02:00:00,33.39,17.6,8.61
2019-01-07 03:00:00,32.28,17.92,8.85
2019-01-07 04:00:00,33.38,18.32,9.16
2019-01-07 05:00:00,35.04,19.04,9.96
2019-01-07 06:00:00,39.42,20.82,11.3
2019-01-07 07:00:00,49.38,23.63,12.9
2019-01-07 08:00:00,57.49,24.72,13.13
2019-01-07 09:00:00,44.77,22.86,11.81
2019-01-07 10:00:00,43.72,20.45,10.55
2019-01-07 11:00:00,40,18.8,9.42
2019-01-07 12:00:00,38.15,17.6,8.59
2019-01-07 13:00:00,34.73,17.19,8.34
2019-01-07 14:00:00,34.08,17.03,8.19
2019-01-07 15:00:00,33.88,17.34,8.24
2019-01-07 16:00:00,39.42,20.1,10.12
2019-01-07 17:00:00,54.21,24.34,12.81
2019-01-07 18:00:00,83.78,27.1,14.44
2019-01-07 19:00:00,70.56,27.58,14.94
2019-01-07 20:00:00,65.09,27.4,15.08
2019-01-07 21:00:00,55.39,26.64,14.77
2019-01-07 22:00:00,46.33,24.85,13.67
2019-01-07 23:00:00,43.51,23.07,12.73
2019-01-07 00:00:00,39.2,21.56,11.9
2019-01-08 01:00:00,35.56,20.54,11.38
2019-01-08 02:00:00,34.76,20.05,10.91
2019-01-08 03:00:00,33.47,19.6,10.66
2019-01-08 04:00:00,33.8,19.44,10.56
2019-01-08 05:00:00,35.54,20.08,10.85
2019-01-08 06:00:00,40.58,21.62,11.7
2019-01-08 07:00:00,51.46,24.25,13.13
2019-01-08 08:00:00,69.45,24.55,12.93
2019-01-08 09:00:00,50.3,22.56,11.13
2019-01-08 10:00:00,44.2,20.36,9.41
2019-01-08 11:00:00,40.89,18.94,8.43
2019-01-08 12:00:00,38.72,18.44,8.15
2019-01-08 13:00:00,38.92,18.35,7.97
2019-01-08 14:00:00,36.31,18.68,8.36
2019-01-08 15:00:00,38.68,19.36,9.23
2019-01-08 16:00:00,40.92,22.1,11.22
2019-01-08 17:00:00,58.71,25.12,13.36
2019-01-08 18:00:00,74.39,27.48,14.85
2019-01-08 19:00:00,61.72,27.5,14.83
2019-01-08 20:00:00,62.1,27.01,14.67
2019-01-08 21:00:00,52.25,26.25,14.32
2019-01-08 22:00:00,47.65,24.93,13.69
2019-01-08 23:00:00,41.04,23.02,12.72
2019-01-08 00:00:00,37.64,21.38,11.86
2019-01-09 01:00:00,36.72,20.37,11.26
2019-01-09 02:00:00,36.17,19.37,10.86
2019-01-09 03:00:00,34.66,18.96,10.62
2019-01-09 04:00:00,35.23,19.11,10.63
2019-01-09 05:00:00,36.71,20.14,11.08
2019-01-09 06:00:00,41.14,21.27,12
2019-01-09 07:00:00,49.82,23.72,13.41
2019-01-09 08:00:00,51.37,24.16,13.13
2019-01-09 09:00:00,37.04,21.36,10.65
2019-01-09 10:00:00,33.79,19.32,8.71
2019-01-09 11:00:00,29.99,18.35,7.97
2019-01-09 12:00:00,29.51,17.94,7.59
2019-01-09 13:00:00,27.21,17.85,7.39
2019-01-09 14:00:00,27.5,18.08,7.57
2019-01-09 15:00:00,28,19.28,8.49
2019-01-09 16:00:00,36.86,20.72,9.85
2019-01-09 17:00:00,51.24,22.66,11.58
2019-01-09 18:00:00,69.1,26.09,13.96
2019-01-09 19:00:00,63.92,26.94,14.51
2019-01-09 20:00:00,58.63,26.73,14.47
2019-01-09 21:00:00,51.49,25.85,13.99
2019-01-09 22:00:00,46.11,24.6,13.28
2019-01-09 23:00:00,39.34,23.22,12.53
2019-01-09 00:00:00,36.8,21.39,11.34
2019-01-10 01:00:00,32.93,19.92,10.4
2019-01-10 02:00:00,32.35,19.22,10.04
2019-01-10 03:00:00,30.78,19.07,10.06
2019-01-10 04:00:00,31.03,19.19,10.16
2019-01-10 05:00:00,32.59,19.53,10.23
2019-01-10 06:00:00,37.89,21.13,11.1
2019-01-10 07:00:00,49.58,23.91,12.68
2019-01-10 08:00:00,48.09,24.09,12.37
2019-01-10 09:00:00,34.49,21.27,10.06
2019-01-10 10:00:00,29.61,19.18,8.54
2019-01-10 11:00:00,24.68,17.55,7.68
2019-01-10 12:00:00,21.61,16.66,7.27
2019-01-10 13:00:00,19.03,15.88,7.05
2019-01-10 14:00:00,17.95,15.8,7.09
2019-01-10 15:00:00,20.42,16.67,7.72
2019-01-10 16:00:00,31.97,19.55,9.7
2019-01-10 17:00:00,46.58,24.03,12.9
2019-01-10 18:00:00,65.34,27.08,14.77
2019-01-10 19:00:00,62.13,27.54,15.05
2019-01-10 20:00:00,56.59,27.16,14.88
2019-01-10 21:00:00,49.3,26.55,14.56
2019-01-10 22:00:00,40.96,25.33,13.83
2019-01-10 23:00:00,38.1,23.79,12.89
2019-01-10 00:00:00,34.64,22.11,11.96
2019-01-11 01:00:00,33.72,21.1,11.4
2019-01-11 02:00:00,32.04,20.43,11.04
2019-01-11 03:00:00,31.13,19.99,10.78
2019-01-11 04:00:00,30.46,19.91,10.72
2019-01-11 05:00:00,33.69,20.49,11.04
2019-01-11 06:00:00,39.5,21.97,11.91
2019-01-11 07:00:00,50.95,24.47,13.24
2019-01-11 08:00:00,47.39,24.56,12.95
2019-01-11 09:00:00,35.85,22.75,11.5
2019-01-11 10:00:00,32.28,20.77,9.91
2019-01-11 11:00:00,27.11,19.62,9.38
2019-01-11 12:00:00,26.53,18.49,8.66
2019-01-11 13:00:00,24.63,18.08,8.44
2019-01-11 14:00:00,25.71,18.66,8.93
2019-01-11 15:00:00,28.88,19.65,9.77
2019-01-11 16:00:00,35.4,20.85,10.8
2019-01-11 17:00:00,43.06,24,12.7
2019-01-11 18:00:00,60.25,26.86,14.38
2019-01-11 19:00:00,54.09,26.63,14.19
2019-01-11 20:00:00,49.14,25.83,13.77
2019-01-11 21:00:00,41.9,25.03,13.36
2019-01-11 22:00:00,39.22,24.03,12.81
2019-01-11 23:00:00,35.81,22.57,11.99
2019-01-11 00:00:00,33.73,21.04,11.22
2019-01-12 01:00:00,34.75,19.95,10.45
2019-01-12 02:00:00,31.69,19.46,10.14
2019-01-12 03:00:00,30.42,19.25,10.2
2019-01-12 04:00:00,32.25,18.99,10.04
2019-01-12 05:00:00,34.39,19.19,10.17
2019-01-12 06:00:00,35.33,19.91,10.64
2019-01-12 07:00:00,38.17,20.98,11.19
2019-01-12 08:00:00,36.66,21.13,11.15
2019-01-12 09:00:00,37.56,20.86,10.9
2019-01-12 10:00:00,36.03,19.4,10.19
2019-01-12 11:00:00,35.49,17.89,9.64
2019-01-12 12:00:00,32.99,16.98,9.61
2019-01-12 13:00:00,32.45,16.6,9.49
2019-01-12 14:00:00,33,16.64,9.25
2019-01-12 15:00:00,32.4,17.13,9.55
2019-01-12 16:00:00,34.95,18.56,10.46
2019-01-12 17:00:00,39.42,21.68,11.84
2019-01-12 18:00:00,49.77,24.52,13.32
2019-01-12 19:00:00,48.92,25,13.52
2019-01-12 20:00:00,45.99,24.79,13.51
2019-01-12 21:00:00,41.39,24.39,13.39
2019-01-12 22:00:00,40,23.63,12.99
2019-01-12 23:00:00,37.07,22.5,12.4
2019-01-12 00:00:00,36.02,21.23,11.57
2019-01-13 01:00:00,36.06,20.41,10.99
2019-01-13 02:00:00,34.47,19.69,10.61
2019-01-13 03:00:00,33.95,19.22,10.38
2019-01-13 04:00:00,34.3,19.01,10.26
